date,sell_quantity,sell_value,buy_quantity,buy_value,daily_balance,inventory,avg_temperature,precipitation,incc,fuel_price,is_holiday,no_sales,price_margin,rolling_mean_sell_value,rolling_mean_buy_value,rolling_std_sell_value,sell_quantity_lag_1,sell_quantity_lag_7,inventory_lag_1,avg_inventory_rolling,inventory_turnover,avg_sell_quantity_last_7d,sell_value_pct_change,buy_value_pct_change,is_moderate_rain,is_heavy_rain,precip_bin,temperature_bin,month,is_weekend,quarter,days_until_holiday,fuel_price_lag_30,fuel_price_lag_60,rolling_mean_fuel_price,fuel_price_pct_change,fuel_price_vs_buy_value,incc_lag_month,incc_lag_2_month,incc_monthly_change,sell_value_pct_vs_incc,sell_quantity_log,temperature_bin_encoded,preciptation_bin_encoded
2024-07-28,0.0,,0.0,28.13,0,685,22.7,0.0,0.0072,6.04,0,1,,36.010000000000005,28.13,,46.0,0.0,685.0,637.4285714285714,0.0,146.0,0.0,0.0,0,0,no rain,optimal,7,True,3,4.0,5.99,5.98,6.046666666666667,-0.0016528925619834212,-0.0016528925619834212,0.0070999999999999,0.0086,0.00010000000000010001,-0.0072,0.0,1,0
2024-07-29,32.0,35.57,0.0,28.13,-32,653,23.0,0.0,0.0072,6.04,0,0,1.2644863135442588,36.095000000000006,28.13,,0.0,112.0,685.0,611.4285714285714,0.04671532839895572,134.57142857142858,-0.028672856362643273,0.0,0,0,no rain,optimal,7,False,3,3.0,5.99,5.98,6.043333333333333,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.03587285636264327,3.4965075614664802,1,0
2024-07-30,193.0,36.17,0.0,28.13,-193,460,16.1,0.7,0.0072,6.04,0,0,1.2858158549591185,35.870000000000005,28.13,,32.0,277.0,653.0,597.4285714285714,0.2955589581997566,122.57142857142857,0.016868147315153292,0.0,0,0,light,optimal,7,False,3,2.0,5.99,5.98,6.04,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,0.009668147315153293,5.267858159063328,1,1
2024-07-31,129.0,36.41,440.0,29.32,311,771,19.7,0.0,0.0072,6.04,0,0,1.24181446111869,36.050000000000004,28.52666666666667,0.43266615305565975,193.0,343.0,460.0,642.5714285714286,0.2804347819990548,92.0,0.006635333149018319,0.04230359047280485,0,0,no rain,optimal,7,False,3,1.0,5.99,5.98,6.04,0.0,-0.04230359047280485,0.0072,0.0070999999999999,0.0,-0.0005646668509816811,4.867534450455582,1,0
2024-08-01,20.0,35.9,0.0,29.32,-20,751,20.7,0.0,0.0069999999999999,6.04,1,0,1.2244201909959072,36.160000000000004,28.923333333333336,0.2551470164434406,129.0,182.0,771.0,676.5714285714286,0.025940337190738863,68.85714285714286,-0.014007140895358372,0.0,0,0,no rain,optimal,8,False,3,0.0,5.99,5.96,6.04,0.0,0.0,0.0072,0.0070999999999999,-0.0002000000000000994,-0.021007140895358274,3.044522437723423,1,0
2024-08-02,170.0,35.97,280.0,28.13,110,861,21.6,0.0,0.0069999999999999,6.04,0,0,1.2787060078208319,36.093333333333334,28.923333333333336,0.2764657905298935,20.0,62.0,751.0,695.1428571428571,0.226364846569421,84.28571428571429,0.001949860724234087,-0.0405866302864939,0,0,no rain,optimal,8,False,3,36.0,5.99,5.96,6.04,0.0,0.0405866302864939,0.0072,0.0070999999999999,-0.0002000000000000994,-0.005050139275765813,5.14166355650266,1,0
2024-08-03,28.0,35.92,0.0,28.13,-28,833,23.6,0.0,0.0069999999999999,6.04,0,0,1.2769285460362603,35.93,28.526666666666667,0.036055512754329375,170.0,46.0,861.0,716.2857142857143,0.03252032516548162,81.71428571428571,-0.0013900472616068527,0.0,0,0,no rain,optimal,8,True,3,35.0,5.99,5.96,6.04,0.0,0.0,0.0072,0.0070999999999999,-0.0002000000000000994,-0.008390047261606753,3.367295829986474,1,0
2024-08-04,0.0,,0.0,28.13,0,833,23.0,0.0,0.0069999999999999,6.03,0,1,,35.94500000000001,28.13,,28.0,0.0,833.0,737.4285714285714,0.0,81.71428571428571,0.0,0.0,0,0,no rain,optimal,8,True,3,34.0,5.99,5.96,6.036666666666666,-0.0016556291390728006,-0.0016556291390728006,0.0072,0.0070999999999999,-0.0002000000000000994,-0.0069999999999999,0.0,1,0
2024-08-05,252.0,35.71,0.0,28.13,-252,581,23.9,0.0,0.0069999999999999,6.03,0,0,1.2694632065410594,35.81500000000001,28.13,,0.0,32.0,833.0,727.1428571428571,0.3025210080401909,113.14285714285714,-0.005846325167037869,0.0,0,0,no rain,optimal,8,False,3,33.0,5.99,5.96,6.033333333333334,0.0,0.0,0.0072,0.0070999999999999,-0.0002000000000000994,-0.01284632516703777,5.53338948872752,1,0
2024-08-06,105.0,35.33,360.0,29.32,255,836,23.8,0.0,0.0069999999999999,6.03,0,0,1.2049795361527966,35.52000000000001,28.52666666666667,,252.0,193.0,581.0,780.8571428571429,0.18072289125521018,100.57142857142857,-0.010641276953234469,0.04230359047280485,0,0,no rain,optimal,8,False,3,32.0,6.01,5.96,6.03,0.0,-0.04230359047280485,0.0072,0.0070999999999999,-0.0002000000000000994,-0.01764127695323437,4.663439094112067,1,0
