time,tavg,prcp
2025-04-05,21.4,0.0
2025-04-06,21.2,0.0
2025-04-07,22.0,0.0
2025-04-08,23.0,0.0
2025-04-09,24.3,5.3
2025-04-10,24.2,10.0
2025-04-11,23.5,0.0
2025-04-12,23.1,0.0
2025-04-13,22.6,7.4
2025-04-14,23.3,0.6
2025-04-15,21.4,13.8
2025-04-16,21.1,10.7
2025-04-17,23.0,
2025-04-18,22.8,
2025-04-19,22.6,
2025-04-20,22.4,
2025-04-21,21.6,
2025-04-22,20.6,
2025-04-23,21.3,0.0
2025-04-24,21.1,11.6
2025-04-25,20.3,11.8
2025-04-26,21.6,1.6
2025-04-27,22.3,0.1
2025-04-28,21.7,7.6
2025-04-29,21.0,0.3
2025-04-30,19.4,0.0
2025-05-01,19.2,0.0
2025-05-02,20.1,0.0
2025-05-03,20.8,0.0
2025-05-04,20.6,0.0
2025-05-05,20.9,0.0
2025-05-06,20.5,0.0
2025-05-07,21.5,0.0
2025-05-08,23.5,0.0
